Note	TBS 1104 - 12:04:47 PM   8/14/2018		0,032	4,72		Note	TBS 1104 - 12:04:47 PM   8/14/2018		0,032	0,024		Note	TBS 1104 - 12:04:47 PM   8/14/2018		0,032	4,08		Note	TBS 1104 - 12:04:47 PM   8/14/2018		0,032	40	
			0,034	4,72					0,034	0,02					0,034	4,16					0,034	42	
			0,036	4,72					0,036	0,02					0,036	4,16					0,036	40	
			0,038	4,72					0,038	0,02					0,038	4,08					0,038	42	
			0,04	4,72					0,04	0,028					0,04	4,16					0,04	42	
			0,042	4,72					0,042	0,044					0,042	4,08					0,042	42	
			0,044	4,72					0,044	0,052					0,044	4,08					0,044	42	
			0,046	4,72					0,046	0,076					0,046	4,16					0,046	42	
			0,048	4,72					0,048	0,1					0,048	4,16					0,048	42	
			0,05	4,72					0,05	0,124					0,05	4,08					0,05	42	
			0,052	4,72					0,052	0,196					0,052	4,16					0,052	42	
			0,054	4,72					0,054	0,26					0,054	4,16					0,054	44	
			0,056	4,72					0,056	0,244					0,056	4,08					0,056	42	
			0,058	4,72					0,058	0,156					0,058	4,16					0,058	44	
			0,06	4,72					0,06	0,072					0,06	4,08					0,06	44	
			0,062	4,72					0,062	0,048					0,062	4,08					0,062	44	
			0,064	4,72					0,064	0,024					0,064	4,08					0,064	44	
			0,066	4,72					0,066	0,024					0,066	4,16					0,066	44	
			0,068	4,72					0,068	0,024					0,068	4,16					0,068	44	
			0,07	4,72					0,07	0,012					0,07	4,08					0,07	44	
			0,072	4,72					0,072	0,02					0,072	4,16					0,072	44	
			0,074	4,72					0,074	0					0,074	4,08					0,074	44	
			0,076	4,72					0,076	0,012					0,076	4,08					0,076	44	
			0,078	4,72					0,078	0,008					0,078	4,16					0,078	44	
			0,08	4,72					0,08	0,004					0,08	4,08					0,08	44	
			0,082	4,72					0,082	-0,004					0,082	4,08					0,082	44	
			0,084	4,72					0,084	0,008					0,084	4,16					0,084	46	
			0,086	4,72					0,086	0,008					0,086	4,08					0,086	44	
			0,088	4,72					0,088	-0,004					0,088	4,16					0,088	44	
			0,09	4,64					0,09	0,008					0,09	4,08					0,09	46	
			0,092	4,72					0,092	0,012					0,092	4,16					0,092	46	
			0,094	4,72					0,094	0,004					0,094	4,08					0,094	46	
			0,096	4,72					0,096	-0,004					0,096	4,08					0,096	46	
			0,098	4,72					0,098	-0,004					0,098	4,08					0,098	46	
			0,1	4,72					0,1	0,004					0,1	4,16					0,1	46	
			0,102	4,72					0,102	0					0,102	4,16					0,102	46	
			0,104	4,72					0,104	0,008					0,104	4,08					0,104	48	
			0,106	4,72					0,106	0,004					0,106	4,08					0,106	46	
			0,108	4,72					0,108	0,012					0,108	4,08					0,108	46	
			0,11	4,72					0,11	0,004					0,11	4,16					0,11	46	
			0,112	4,72					0,112	0,004					0,112	4,16					0,112	48	
			0,114	4,72					0,114	0,004					0,114	4,08					0,114	46	
			0,116	4,72					0,116	0,004					0,116	4,08					0,116	48	
			0,118	4,72					0,118	0,008					0,118	4,16					0,118	48	
			0,12	4,72					0,12	0,012					0,12	4,16					0,12	48	
			0,122	4,72					0,122	0,012					0,122	4,16					0,122	48	
			0,124	4,72					0,124	0,016					0,124	4,08					0,124	48	
			0,126	4,72					0,126	0,012					0,126	4,16					0,126	48	
			0,128	4,72					0,128	0,008					0,128	4,16					0,128	48	
			0,13	4,72					0,13	0,016					0,13	4,08					0,13	48	
			0,132	4,72					0,132	0,012					0,132	4,16					0,132	50	
			0,134	4,72					0,134	0,024					0,134	4,08					0,134	50	
			0,136	4,72					0,136	0,02					0,136	4,08					0,136	48	
			0,138	4,72					0,138	0,016					0,138	4,08					0,138	48	
			0,14	4,72					0,14	0,016					0,14	4,08					0,14	50	
			0,142	4,72					0,142	0,016					0,142	4,08					0,142	50	
			0,144	4,72					0,144	0,016					0,144	4,16					0,144	50	
			0,146	4,72					0,146	0,024					0,146	4,08					0,146	50	
			0,148	4,72					0,148	0,024					0,148	4,08					0,148	50	
			0,15	4,72					0,15	0,024					0,15	4,08					0,15	50	
			0,152	4,72					0,152	0,044					0,152	4,16					0,152	50	
			0,154	4,72					0,154	0,052					0,154	4,08					0,154	50	
			0,156	4,72					0,156	0,08					0,156	4,08					0,156	50	
			0,158	4,72					0,158	0,116					0,158	4,08					0,158	50	
			0,16	4,72					0,16	0,14					0,16	4,16					0,16	52	
			0,162	4,72					0,162	0,2					0,162	4,08					0,162	50	
			0,164	4,72					0,164	0,264					0,164	4,08					0,164	50	
			0,166	4,72					0,166	0,224					0,166	4,08					0,166	52	
			0,168	4,72					0,168	0,132					0,168	4,08					0,168	52	
			0,17	4,72					0,17	0,052					0,17	4,08					0,17	52	
			0,172	4,72					0,172	0,032					0,172	4,08					0,172	52	
			0,174	4,72					0,174	0,024					0,174	4,08					0,174	52	
			0,176	4,72					0,176	0,02					0,176	4,08					0,176	52	
			0,178	4,72					0,178	0,02					0,178	4,08					0,178	52	
			0,18	4,72					0,18	0,008					0,18	4,08					0,18	52	
			0,182	4,72					0,182	0,004					0,182	4,08					0,182	52	
			0,184	4,72					0,184	0,008					0,184	4,08					0,184	52	
			0,186	4,72					0,186	0,012					0,186	4,08					0,186	54	
			0,188	4,72					0,188	0,008					0,188	4,08					0,188	52	
			0,19	4,72					0,19	0,008					0,19	4,08					0,19	52	
			0,192	4,72					0,192	0,008					0,192	4,08					0,192	54	
			0,194	4,72					0,194	0,012					0,194	4,08					0,194	52	
			0,196	4,72					0,196	0,012					0,196	4,08					0,196	52	
			0,198	4,72					0,198	0,012					0,198	4,08					0,198	54	
			0,2	4,72					0,2	0,012					0,2	4,08					0,2	54	
