			0,046	4,72					0,046	0,04					0,046	4,64					0,046	50	
			0,048	4,72					0,048	0,052					0,048	4,64					0,048	50	
			0,05	4,72					0,05	0,072					0,05	4,64					0,05	50	
			0,052	4,72					0,052	0,104					0,052	4,64					0,052	50	
			0,054	4,72					0,054	0,124					0,054	4,64					0,054	50	
			0,056	4,72					0,056	0,172					0,056	4,64					0,056	50	
			0,058	4,72					0,058	0,264					0,058	4,64					0,058	50	
			0,06	4,72					0,06	0,248					0,06	4,64					0,06	50	
			0,062	4,72					0,062	0,156					0,062	4,64					0,062	50	
			0,064	4,72					0,064	0,084					0,064	4,56					0,064	50	
			0,066	4,72					0,066	0,044					0,066	4,64					0,066	50	
			0,068	4,72					0,068	0,028					0,068	4,64					0,068	50	
			0,07	4,72					0,07	0,02					0,07	4,64					0,07	52	
			0,072	4,72					0,072	0,016					0,072	4,64					0,072	50	
			0,074	4,72					0,074	0,004					0,074	4,64					0,074	50	
			0,076	4,72					0,076	0,012					0,076	4,64					0,076	50	
			0,078	4,72					0,078	0,004					0,078	4,64					0,078	52	
			0,08	4,72					0,08	0,012					0,08	4,64					0,08	52	
			0,082	4,8					0,082	0,008					0,082	4,64					0,082	52	
			0,084	4,72					0,084	0,012					0,084	4,64					0,084	52	
			0,086	4,72					0,086	0,008					0,086	4,64					0,086	52	
			0,088	4,72					0,088	0,012					0,088	4,64					0,088	52	
			0,09	4,72					0,09	0,012					0,09	4,64					0,09	52	
			0,092	4,72					0,092	0,004					0,092	4,64					0,092	52	
			0,094	4,72					0,094	0,004					0,094	4,64					0,094	52	
			0,096	4,72					0,096	0					0,096	4,64					0,096	52	
			0,098	4,72					0,098	0,004					0,098	4,64					0,098	54	
			0,1	4,72					0,1	0,004					0,1	4,64					0,1	54	
			0,102	4,72					0,102	0,008					0,102	4,64					0,102	54	
			0,104	4,72					0,104	0,004					0,104	4,64					0,104	54	
			0,106	4,72					0,106	0,004					0,106	4,64					0,106	54	
			0,108	4,72					0,108	0,012					0,108	4,64					0,108	54	
