,,,18.0000011E-3,-3.11999989,,,,,18.0000011E-3,-432.000011206E-3,,,,,18.0000011E-3,-632.000029087E-3,,,,,18.0000011E-3,-118.4000015,
,,,19.0000013E-3,-3.11999989,,,,,19.0000013E-3,-432.000011206E-3,,,,,19.0000013E-3,-632.000029087E-3,,,,,19.0000013E-3,-118.4000015,
,,,20.0000014E-3,-3.11999989,,,,,20.0000014E-3,-432.000011206E-3,,,,,20.0000014E-3,-632.000029087E-3,,,,,20.0000014E-3,-118.4000015,
,,,21.00000158E-3,-3.11999989,,,,,21.00000158E-3,-432.000011206E-3,,,,,21.00000158E-3,-632.000029087E-3,,,,,21.00000158E-3,-118.4000015,
,,,22.00000174E-3,-3.11999989,,,,,22.00000174E-3,-432.000011206E-3,,,,,22.00000174E-3,-632.000029087E-3,,,,,22.00000174E-3,-118.4000015,
,,,23.00000191E-3,-3.11999989,,,,,23.00000191E-3,-432.000011206E-3,,,,,23.00000191E-3,-632.000029087E-3,,,,,23.00000191E-3,-118.4000015,
,,,24.00000021E-3,-3.11999989,,,,,24.00000021E-3,-432.000011206E-3,,,,,24.00000021E-3,-632.000029087E-3,,,,,24.00000021E-3,-118.4000015,
,,,25.00000037E-3,-3.11999989,,,,,25.00000037E-3,-432.000011206E-3,,,,,25.00000037E-3,-632.000029087E-3,,,,,25.00000037E-3,-118.4000015,
,,,26.00000054E-3,-3.11999989,,,,,26.00000054E-3,-432.000011206E-3,,,,,26.00000054E-3,-632.000029087E-3,,,,,26.00000054E-3,-118.4000015,
,,,27.00000070E-3,-3.11999989,,,,,27.00000070E-3,-432.000011206E-3,,,,,27.00000070E-3,-632.000029087E-3,,,,,27.00000070E-3,-118.4000015,
,,,28.00000086E-3,-3.11999989,,,,,28.00000086E-3,-432.000011206E-3,,,,,28.00000086E-3,-632.000029087E-3,,,,,28.00000086E-3,-118.4000015,
,,,29.00000103E-3,-3.11999989,,,,,29.00000103E-3,-432.000011206E-3,,,,,29.00000103E-3,-632.000029087E-3,,,,,29.00000103E-3,-118.4000015,
,,,30.00000119E-3,-3.11999989,,,,,30.00000119E-3,-432.000011206E-3,,,,,30.00000119E-3,-632.000029087E-3,,,,,30.00000119E-3,-118.4000015,
