    nm         	nm
2.244189e+001	-1.570976e+001
2.183535e+001	-1.561560e+001
2.122881e+001	-1.552321e+001
2.062228e+001	-1.543259e+001
2.001574e+001	-1.534465e+001
1.940920e+001	-1.525848e+001
1.880267e+001	-1.517319e+001
1.819613e+001	-1.508880e+001
1.758959e+001	-1.500440e+001
1.698305e+001	-1.492267e+001
1.637652e+001	-1.484183e+001
1.576998e+001	-1.476277e+001
1.516344e+001	-1.468459e+001
1.455691e+001	-1.460908e+001
1.395037e+001	-1.453357e+001
1.334383e+001	-1.445895e+001
1.273730e+001	-1.438522e+001
1.213076e+001	-1.431326e+001
1.152422e+001	-1.424130e+001
1.091768e+001	-1.417023e+001
1.031115e+001	-1.410094e+001
9.704610e+000	-1.403254e+001
9.098073e+000	-1.396591e+001
8.491536e+000	-1.389928e+001
7.884999e+000	-1.383354e+001
7.278462e+000	-1.376869e+001
6.671925e+000	-1.370562e+001
6.065388e+000	-1.364344e+001
5.458851e+000	-1.358303e+001
4.852314e+000	-1.352173e+001
4.245777e+000	-1.346310e+001
3.639240e+000	-1.340536e+001
3.032703e+000	-1.331474e+001
2.426167e+000	-1.326144e+001
1.819630e+000	-1.319748e+001
1.213093e+000	-1.315484e+001
6.065561e-001	-1.309088e+001
1.931788e-005	-1.303757e+001
