    kHz         	 V
2.381697e+002	5.002441e-001
2.381744e+002	5.009460e-001
2.381790e+002	5.014038e-001
2.381837e+002	5.029602e-001
2.381884e+002	5.034790e-001
2.381930e+002	5.048218e-001
2.381977e+002	5.057068e-001
2.382024e+002	5.059509e-001
2.382070e+002	5.071411e-001
2.382117e+002	5.079956e-001
2.382163e+002	5.080566e-001
2.382210e+002	5.090637e-001
2.382257e+002	5.075073e-001
2.382303e+002	5.083008e-001
2.382350e+002	5.076599e-001
2.382397e+002	5.083618e-001
2.382443e+002	5.079956e-001
2.382490e+002	5.076294e-001
2.382536e+002	5.073242e-001
2.382583e+002	5.066833e-001
2.382630e+002	5.047302e-001
2.382676e+002	5.053101e-001
2.382723e+002	5.044250e-001
2.382770e+002	5.032043e-001
2.382816e+002	5.021973e-001
2.382863e+002	5.001526e-001
2.382909e+002	4.995117e-001
2.382956e+002	4.976501e-001
2.383003e+002	4.959106e-001
2.383049e+002	4.954529e-001
2.383096e+002	4.934082e-001
2.383143e+002	4.913025e-001
2.383189e+002	4.889832e-001
2.383236e+002	4.870911e-001
2.383282e+002	4.851685e-001
2.383329e+002	4.833069e-001
2.383376e+002	4.814758e-001
2.383422e+002	4.798279e-001
2.383469e+002	4.777832e-001
2.383515e+002	4.749451e-001
2.383562e+002	4.728394e-001
2.383609e+002	4.701843e-001
2.383655e+002	4.682922e-001
2.383702e+002	4.656372e-001
2.383749e+002	4.625854e-001
2.383795e+002	4.603271e-001
2.383842e+002	4.579773e-001
2.383888e+002	4.563293e-001
2.383935e+002	4.525452e-001
2.383982e+002	4.498291e-001
2.384028e+002	4.471436e-001
2.384075e+002	4.446716e-001
2.384122e+002	4.419861e-001
2.384168e+002	4.396362e-001
2.384215e+002	4.368286e-001
2.384261e+002	4.334717e-001
2.384308e+002	4.302979e-001
2.384355e+002	4.270325e-001
2.384401e+002	4.246826e-001
2.384448e+002	4.224548e-001
2.384495e+002	4.196777e-001
2.384541e+002	4.166260e-001
2.384588e+002	4.141541e-001
2.384634e+002	4.108276e-001
2.384681e+002	4.085083e-001
2.384728e+002	4.047546e-001
2.384774e+002	4.029541e-001
2.384821e+002	4.015503e-001
2.384868e+002	3.976440e-001
2.384914e+002	3.947754e-001
2.384961e+002	3.922119e-001
2.385007e+002	3.904419e-001
2.385054e+002	3.867188e-001
2.385101e+002	3.840027e-001
2.385147e+002	3.824463e-001
2.385194e+002	3.791504e-001
2.385240e+002	3.764343e-001
2.385287e+002	3.736877e-001
2.385334e+002	3.707581e-001
2.385380e+002	3.681335e-001
2.385427e+002	3.658752e-001
2.385474e+002	3.638611e-001
2.385520e+002	3.612976e-001
2.385567e+002	3.581543e-001
2.385613e+002	3.554077e-001
2.385660e+002	3.534546e-001
2.385707e+002	3.506470e-001
2.385753e+002	3.493958e-001
2.385800e+002	3.469238e-001
2.385847e+002	3.440247e-001
2.385893e+002	3.420105e-001
2.385940e+002	3.392029e-001
2.385986e+002	3.368225e-001
2.386033e+002	3.350525e-001
2.386080e+002	3.323669e-001
2.386126e+002	3.295593e-001
2.386173e+002	3.275146e-001
2.386219e+002	3.255310e-001
2.386266e+002	3.237305e-001
2.386313e+002	3.216553e-001
2.386359e+002	3.182068e-001
2.386406e+002	3.167725e-001
2.386453e+002	3.146667e-001
2.386499e+002	3.125916e-001
2.386546e+002	3.112488e-001
2.386592e+002	3.090210e-001
2.386639e+002	3.064880e-001
2.386686e+002	3.046265e-001
2.386732e+002	3.029175e-001
2.386779e+002	3.012085e-001
2.386825e+002	2.992859e-001
2.386872e+002	2.976685e-001
2.386919e+002	2.947388e-001
2.386965e+002	2.925720e-001
2.387012e+002	2.918091e-001
2.387059e+002	2.892761e-001
2.387105e+002	2.876892e-001
2.387152e+002	2.862244e-001
2.387198e+002	2.843933e-001
2.387245e+002	2.834473e-001
2.387292e+002	2.803650e-001
2.387338e+002	2.788391e-001
2.387385e+002	2.781982e-001
2.387432e+002	2.754517e-001
2.387478e+002	2.741394e-001
2.387525e+002	2.722168e-001
2.387571e+002	2.701111e-001
2.387618e+002	2.682800e-001
2.387665e+002	2.684021e-001
2.387711e+002	2.665405e-001
2.387758e+002	2.640381e-001
2.387805e+002	2.626648e-001
2.387851e+002	2.614136e-001
2.387898e+002	2.597961e-001
2.387944e+002	2.578735e-001
2.387991e+002	2.569275e-001
2.388038e+002	2.553711e-001
2.388084e+002	2.540588e-001
2.388131e+002	2.522888e-001
2.388178e+002	2.512207e-001
2.388224e+002	2.496033e-001
2.388271e+002	2.478943e-001
2.388317e+002	2.458801e-001
2.388364e+002	2.458801e-001
2.388411e+002	2.442017e-001
2.388457e+002	2.434692e-001
2.388504e+002	2.412720e-001
2.388550e+002	2.400818e-001
2.388597e+002	2.381897e-001
2.388644e+002	2.374878e-001
2.388690e+002	2.357788e-001
2.388737e+002	2.351990e-001
2.388784e+002	2.327576e-001
2.388830e+002	2.319031e-001
2.388877e+002	2.308350e-001
2.388923e+002	2.295532e-001
2.388970e+002	2.287598e-001
2.389017e+002	2.269592e-001
2.389063e+002	2.266541e-001
2.389110e+002	2.244263e-001
2.389157e+002	2.239075e-001
2.389203e+002	2.221375e-001
2.389250e+002	2.216187e-001
2.389296e+002	2.194824e-001
2.389343e+002	2.192383e-001
2.389390e+002	2.176208e-001
2.389436e+002	2.166138e-001
2.389483e+002	2.158813e-001
2.389530e+002	2.135620e-001
2.389576e+002	2.123718e-001
2.389623e+002	2.126465e-001
2.389669e+002	2.120361e-001
2.389716e+002	2.098999e-001
2.389763e+002	2.095337e-001
2.389809e+002	2.073975e-001
2.389856e+002	2.065430e-001
2.389903e+002	2.057800e-001
2.389949e+002	2.052307e-001
2.389996e+002	2.029724e-001
2.390042e+002	2.024231e-001
2.390089e+002	2.017517e-001
2.390136e+002	1.999817e-001
2.390182e+002	1.993408e-001
2.390229e+002	1.983032e-001
2.390275e+002	1.979675e-001
2.390322e+002	1.971130e-001
2.390369e+002	1.958008e-001
2.390415e+002	1.946411e-001
2.390462e+002	1.932373e-001
2.390509e+002	1.931152e-001
2.390555e+002	1.921082e-001
2.390602e+002	1.912231e-001
2.390648e+002	1.901855e-001
2.390695e+002	1.893311e-001
2.390742e+002	1.873474e-001
2.390788e+002	1.875000e-001
2.390835e+002	1.865234e-001
2.390882e+002	1.855469e-001
2.390928e+002	1.840515e-001
2.390975e+002	1.836853e-001
2.391021e+002	1.823425e-001
2.391068e+002	1.828613e-001
2.391115e+002	1.809692e-001
2.391161e+002	1.798096e-001
2.391208e+002	1.793213e-001
2.391254e+002	1.784973e-001
2.391301e+002	1.774902e-001
2.391348e+002	1.765747e-001
2.391394e+002	1.763000e-001
2.391441e+002	1.751404e-001
2.391488e+002	1.737061e-001
2.391534e+002	1.734619e-001
2.391581e+002	1.729736e-001
2.391627e+002	1.724854e-001
2.391674e+002	1.709595e-001
2.391721e+002	1.710510e-001
2.391767e+002	1.697083e-001
2.391814e+002	1.702271e-001
2.391860e+002	1.676941e-001
2.391907e+002	1.679993e-001
2.391954e+002	1.670837e-001
2.392000e+002	1.660461e-001
2.392047e+002	1.651917e-001
2.392094e+002	1.640625e-001
2.392140e+002	1.642151e-001
2.392187e+002	1.634827e-001
2.392233e+002	1.621704e-001
2.392280e+002	1.618347e-001
2.392327e+002	1.610718e-001
2.392373e+002	1.606445e-001
2.392420e+002	1.591492e-001
2.392467e+002	1.585388e-001
2.392513e+002	1.589966e-001
2.392560e+002	1.573486e-001
2.392606e+002	1.564026e-001
2.392653e+002	1.566772e-001
2.392700e+002	1.561279e-001
2.392746e+002	1.547241e-001
2.392793e+002	1.546326e-001
2.392840e+002	1.537170e-001
2.392886e+002	1.530457e-001
2.392933e+002	1.523132e-001
2.392979e+002	1.523743e-001
2.393026e+002	1.509705e-001
2.393073e+002	1.513062e-001
2.393119e+002	1.503906e-001
