    µm         	nm
8.174121e+000	-2.755146e+001
8.190568e+000	-2.859507e+001
8.207015e+000	-3.183028e+001
8.223462e+000	-3.678745e+001
8.239909e+000	-4.487548e+001
8.256356e+000	-5.244169e+001
8.272803e+000	-4.972829e+001
8.289249e+000	-4.774542e+001
8.305697e+000	-4.044011e+001
8.322143e+000	-4.711925e+001
8.338590e+000	-4.800632e+001
8.355038e+000	-4.664962e+001
8.371484e+000	-4.868467e+001
8.387931e+000	-4.440585e+001
8.404378e+000	-4.550165e+001
