    nm         	nm
1.552733e+001	-3.417966e+001
1.542968e+001	-3.425162e+001
1.533202e+001	-3.430581e+001
1.523436e+001	-3.435911e+001
1.513671e+001	-3.399310e+001
1.503905e+001	-3.303900e+001
1.494139e+001	-3.207691e+001
1.484374e+001	-3.112370e+001
1.474608e+001	-3.016960e+001
1.464842e+001	-2.921906e+001
1.455077e+001	-2.826496e+001
1.445311e+001	-2.731885e+001
1.435546e+001	-2.636920e+001
1.425780e+001	-2.541243e+001
1.416014e+001	-2.447166e+001
1.406249e+001	-2.353177e+001
1.396483e+001	-2.300942e+001
1.386717e+001	-2.306627e+001
1.376952e+001	-2.313290e+001
1.367186e+001	-2.318620e+001
1.357421e+001	-2.322795e+001
1.347655e+001	-2.327060e+001
1.337889e+001	-2.331235e+001
1.328124e+001	-2.334788e+001
1.318358e+001	-2.337986e+001
1.308593e+001	-2.340829e+001
1.298827e+001	-2.343050e+001
1.289061e+001	-2.344827e+001
1.279296e+001	-2.346603e+001
1.269530e+001	-2.347225e+001
1.259765e+001	-2.347847e+001
1.249999e+001	-2.348736e+001
1.240233e+001	-2.349535e+001
1.230468e+001	-2.349624e+001
1.220702e+001	-2.348736e+001
1.210937e+001	-2.347936e+001
1.201171e+001	-2.346781e+001
1.191405e+001	-2.345360e+001
1.181640e+001	-2.343850e+001
1.171874e+001	-2.342250e+001
1.162108e+001	-2.339941e+001
1.152343e+001	-2.338253e+001
1.142577e+001	-2.336210e+001
1.132812e+001	-2.333722e+001
1.123046e+001	-2.331146e+001
1.113280e+001	-2.328836e+001
1.103515e+001	-2.326971e+001
1.093749e+001	-2.323950e+001
1.083984e+001	-2.320930e+001
1.074218e+001	-2.317732e+001
1.064452e+001	-2.314445e+001
1.054687e+001	-2.311158e+001
1.044921e+001	-2.307871e+001
1.035156e+001	-2.304762e+001
1.025390e+001	-2.301830e+001
1.015624e+001	-2.299165e+001
1.005859e+001	-2.296589e+001
9.960931e+000	-2.293480e+001
9.863275e+000	-2.290281e+001
9.765619e+000	-2.287439e+001
9.667962e+000	-2.284418e+001
9.570306e+000	-2.281753e+001
9.472650e+000	-2.278910e+001
9.374994e+000	-2.275801e+001
9.277338e+000	-2.272958e+001
9.179682e+000	-2.270027e+001
9.082026e+000	-2.267273e+001
8.984370e+000	-2.263897e+001
8.886714e+000	-2.260699e+001
8.789057e+000	-2.257767e+001
8.691401e+000	-2.254747e+001
8.593745e+000	-2.251815e+001
8.496089e+000	-2.248795e+001
8.398433e+000	-2.245863e+001
8.300777e+000	-2.243021e+001
8.203121e+000	-2.240178e+001
8.105465e+000	-2.237246e+001
8.007809e+000	-2.234226e+001
7.910153e+000	-2.231028e+001
7.812496e+000	-2.227919e+001
7.714840e+000	-2.224720e+001
7.617184e+000	-2.221434e+001
7.519528e+000	-2.218147e+001
7.421872e+000	-2.214593e+001
7.324216e+000	-2.211217e+001
7.226560e+000	-2.207753e+001
7.128904e+000	-2.204199e+001
7.031248e+000	-2.200646e+001
6.933591e+000	-2.197181e+001
6.835935e+000	-2.193983e+001
6.738279e+000	-2.190874e+001
6.640623e+000	-2.187676e+001
6.542967e+000	-2.184655e+001
6.445311e+000	-2.181990e+001
6.347655e+000	-2.178970e+001
6.249999e+000	-2.176127e+001
6.152343e+000	-2.173018e+001
6.054687e+000	-2.169820e+001
5.957030e+000	-2.166711e+001
5.859374e+000	-2.163601e+001
5.761718e+000	-2.160048e+001
5.664062e+000	-2.156406e+001
5.566406e+000	-2.152674e+001
5.468750e+000	-2.149210e+001
5.371094e+000	-2.145301e+001
5.273438e+000	-2.141303e+001
5.175782e+000	-2.137750e+001
5.078125e+000	-2.134108e+001
4.980469e+000	-2.130643e+001
4.882813e+000	-2.127178e+001
4.785157e+000	-2.123892e+001
4.687501e+000	-2.120516e+001
4.589845e+000	-2.117318e+001
4.492189e+000	-2.114031e+001
4.394533e+000	-2.110655e+001
4.296877e+000	-2.107279e+001
4.199221e+000	-2.104081e+001
4.101564e+000	-2.100883e+001
4.003908e+000	-2.097418e+001
3.906252e+000	-2.093954e+001
3.808596e+000	-2.090578e+001
3.710940e+000	-2.087202e+001
3.613283e+000	-2.083649e+001
3.515627e+000	-2.080273e+001
3.417971e+000	-2.076986e+001
3.320314e+000	-2.073699e+001
3.222658e+000	-2.070590e+001
3.125002e+000	-2.067392e+001
3.027345e+000	-2.064105e+001
2.929689e+000	-2.060818e+001
2.832033e+000	-2.057620e+001
2.734377e+000	-2.054600e+001
2.636720e+000	-2.051401e+001
2.539064e+000	-2.048114e+001
2.441408e+000	-2.045005e+001
2.343751e+000	-2.042074e+001
2.246095e+000	-2.039053e+001
2.148439e+000	-2.036033e+001
2.050782e+000	-2.033012e+001
1.953126e+000	-2.029992e+001
1.855470e+000	-2.027149e+001
1.757813e+000	-2.024218e+001
1.660157e+000	-2.021019e+001
1.562501e+000	-2.017821e+001
1.464845e+000	-2.014979e+001
1.367189e+000	-2.012136e+001
1.269532e+000	-2.009115e+001
1.171876e+000	-2.005917e+001
1.074220e+000	-2.002719e+001
9.765637e-001	-1.999699e+001
8.789075e-001	-1.996590e+001
7.812513e-001	-1.993480e+001
6.835951e-001	-1.990371e+001
5.859389e-001	-1.987351e+001
4.882826e-001	-1.982820e+001
3.906264e-001	-1.980688e+001
2.929701e-001	-1.977490e+001
1.953139e-001	-1.973226e+001
9.765766e-002	-1.971094e+001
1.415534e-006	-1.970028e+001
