,,,194.22000647E-3,86.000002921E-3,
,,,194.24000382E-3,82.000002265E-3,
,,,194.26000118E-3,90.000003576E-3,
,,,194.27999854E-3,90.000003576E-3,
,,,194.30001080E-3,86.000002921E-3,
,,,194.32000816E-3,90.000003576E-3,
,,,194.34000552E-3,82.000002265E-3,
,,,194.36000288E-3,88.000006974E-3,
,,,194.38000023E-3,90.000003576E-3,
,,,194.39999759E-3,88.000006974E-3,
,,,194.42000985E-3,88.000006974E-3,
,,,194.44000721E-3,78.000001609E-3,
,,,194.46000457E-3,78.000001609E-3,
,,,194.48000193E-3,86.000002921E-3,
,,,194.49999928E-3,84.000006318E-3,
,,,194.51999664E-3,86.000002921E-3,
,,,194.54000890E-3,82.000002265E-3,
,,,194.56000626E-3,84.000006318E-3,
,,,194.58000362E-3,86.000002921E-3,
,,,194.60000098E-3,84.000006318E-3,
,,,194.61999834E-3,78.000001609E-3,
,,,194.64001060E-3,78.000001609E-3,
,,,194.66000795E-3,82.000002265E-3,
,,,194.68000531E-3,78.000001609E-3,
,,,194.70000267E-3,84.000006318E-3,
,,,194.72000003E-3,74.000000954E-3,
,,,194.73999739E-3,78.000001609E-3,
,,,194.76000965E-3,78.000001609E-3,
,,,194.78000700E-3,82.000002265E-3,
,,,194.80000436E-3,84.000006318E-3,
,,,194.82000172E-3,78.000001609E-3,
,,,194.83999908E-3,74.000000954E-3,
,,,194.85999644E-3,76.000005007E-3,
,,,194.88000870E-3,78.000001609E-3,
,,,194.90000606E-3,74.000000954E-3,
,,,194.92000341E-3,72.000004351E-3,
,,,194.94000077E-3,80.000005662E-3,
,,,194.95999813E-3,80.000005662E-3,
,,,194.98001039E-3,72.000004351E-3,
,,,195.00000775E-3,65.999999642E-3,
,,,195.02000511E-3,76.000005007E-3,
,,,195.04000247E-3,82.000002265E-3,
,,,195.05999982E-3,68.000003695E-3,
,,,195.07999718E-3,74.000000954E-3,
,,,195.10000944E-3,72.000004351E-3,
